Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
None,None,None,None,None,None,None,None,None,3,235066.0,179.289223532,-913.503070648,204.247952091,446.932741937,-317.144532118,699.456493267,45.6177112984
None,None,None,None,None,None,None,None,None,3,235066.0,178.316945643,469.782273643,298.48022911,603.661116737,-151.497878716,-117.278950385,-16.2839734765
None,None,None,None,None,None,None,None,None,3,235066.0,179.853885163,344.310407531,166.91704627,180.584546163,-392.229650721,-246.497416351,-44.656694204
None,None,None,None,None,None,None,None,None,3,235066.0,178.86126062,214.757646485,242.965036622,463.734085515,-316.415217603,-370.379256367,-11.9541760115
None,None,None,None,None,None,None,None,None,3,235066.0,179.584713198,912.941093913,199.852443675,794.86521647,-327.036003119,-558.086169419,43.4499520309
None,None,None,None,None,None,None,None,None,3,235066.0,179.238631837,529.62814247,194.430279347,-555.047138746,-151.295330677,-632.337114183,-4.82926012601
None,None,None,None,None,None,None,None,None,3,235066.0,178.52201613,-705.746299286,158.128667056,84.1097987666,-391.907455972,240.234644185,-6.16118109218
None,None,None,None,None,None,None,None,None,3,235066.0,178.802029662,5.11949398076,262.081856573,-623.958233237,-315.369013265,-476.798104417,-9.93064971782
None,None,None,None,None,None,None,None,None,3,235066.0,179.950414047,86.3825755942,268.786772069,0.167679518376,-231.486459821,324.230274278,44.6468686408
None,None,None,None,None,None,None,None,None,3,235066.0,178.414921613,-776.899539516,209.125367874,-269.547103619,-345.849969985,-235.11965828,45.8882406442
None,None,None,None,None,None,None,None,None,3,235066.0,178.928579858,-494.840942935,176.776140024,-889.272963141,-333.639726686,154.378139377,-41.1678124758
None,None,None,None,None,None,None,None,None,3,235066.0,178.852348447,110.641661142,295.951762001,-808.734055303,-380.451068956,486.142960535,43.7378145108
None,None,None,None,None,None,None,None,None,3,235066.0,178.832694167,794.533945242,202.095952065,498.785779293,-219.344744391,771.23339253,7.53236549548
None,None,None,None,None,None,None,None,None,3,235066.0,178.65871877,748.419933152,263.621986051,480.144464784,-386.598437524,313.126129341,-33.2329379933
None,None,None,None,None,None,None,None,None,3,235066.0,179.816473045,-944.46434549,202.051337492,-317.609819059,-244.662054828,-874.052061519,-34.5443476398
None,None,None,None,None,None,None,None,None,3,235066.0,178.830089089,-606.072883555,216.758137558,189.334085511,-393.295108143,192.51593613,10.3044892268
None,None,None,None,None,None,None,None,None,3,235066.0,179.562911537,49.277044984,242.038423994,584.276821113,-385.149163107,-778.575830798,17.2206065704
None,None,None,None,None,None,None,None,None,3,235066.0,179.594814502,-273.454881405,251.498316538,458.390172973,-296.706320654,715.300585293,-35.0284036189
None,None,None,None,None,None,None,None,None,3,235066.0,179.643799277,461.523974557,223.888271069,-701.340248033,-178.387196128,-982.680974762,42.1034979477
None,None,None,None,None,None,None,None,None,3,235066.0,178.305694198,-789.682607445,262.238213614,-628.237580003,-325.728967486,130.176824053,-18.8626628932
None,None,None,None,None,None,None,None,None,3,235066.0,179.213537251,238.364877424,253.976976174,590.16321243,-370.352092744,-283.143464351,-41.1728479431
None,None,None,None,None,None,None,None,None,3,235066.0,179.717284479,62.203923739,289.168330464,-910.586821947,-280.342111882,185.667880652,-14.516408516
None,None,None,None,None,None,None,None,None,3,235066.0,178.582083866,-82.0742998547,230.727990518,-818.045082482,-322.223223974,-708.600202126,-35.5003756997
None,None,None,None,None,None,None,None,None,3,235066.0,178.313030445,370.109221895,235.688147834,-167.673258218,-201.828694661,804.877851285,9.91187044732
None,None,None,None,None,None,None,None,None,3,235066.0,179.842667317,100.147933298,164.17796351,-271.037805452,-241.844615937,-346.503342166,27.6772209609
None,None,None,None,None,None,None,None,None,3,235066.0,178.704949516,-928.728609363,220.533282638,8.16113334585,-263.346582265,-807.919305518,-7.87917891202
None,None,None,None,None,None,None,None,None,3,235066.0,179.225508003,825.058684952,220.92848533,107.549549764,-340.121830337,961.319136628,46.60158514
None,None,None,None,None,None,None,None,None,3,235066.0,179.648609191,-577.199088895,211.900642471,88.5027464241,-320.829000378,593.08277803,41.59053177
None,None,None,None,None,None,None,None,None,3,235066.0,179.069273146,-403.455913722,189.974217986,-849.994284684,-226.964539538,814.786912164,38.6323879717
None,None,None,None,None,None,None,None,None,3,235066.0,179.534204076,-558.474488283,206.508295478,-596.846842769,-316.003422787,210.525781296,24.1913882167
None,None,None,None,None,None,None,None,None,3,235066.0,179.024276358,-999.091682524,219.277079605,423.947376767,-367.789903893,42.2234677558,6.39703593332
None,None,None,None,None,None,None,None,None,3,235066.0,179.307815486,68.1351562628,164.50360992,815.445701205,-190.209634312,113.981410504,40.6789727976
None,None,None,None,None,None,None,None,None,3,235066.0,179.494850432,-472.290140666,268.759972195,871.485664548,-395.257646609,26.6025335481,-14.1546987806
None,None,None,None,None,None,None,None,None,3,235066.0,179.096872078,238.902090078,153.119406101,492.191392886,-230.924760096,-548.117382487,-3.93027629937
